"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
3261, 1.035973896600000e+00, 1.506709487100000e+00, 6.547784846900000e-02, 4.705802590576832e+00, 4.830337525822373e-01, 3.471474985015881e-01
8526, 1.053264336200000e+00, 1.523761172100000e+00, 5.747012693200000e-02, 4.432539658054829e+00, -6.349211246176978e-02, 3.688589192725573e-01
3262, 1.042728580600000e+00, 1.518064045500000e+00, 6.843012496500001e-02, 4.861395761275710e+00, 7.942200939799928e-01, 3.234140028893047e-01
9036, 1.076142914200000e+00, 1.521543482700000e+00, 2.887568512800000e-02, 4.353796186127416e+00, -2.209790563165956e-01, 3.961472425113863e-01
9534, 1.071899823800000e+00, 1.505934727100000e+00, 2.166111583700000e-02, 4.456283493998920e+00, -1.600444057358708e-02, 4.399524141373573e-01
20, 1.674271455300000e+00, 2.413197949600000e+00, 1.282236305500000e-01, 4.271851804187169e+00, -3.848678201970888e-01, 4.095458487258234e-01
21, 1.668767943100000e+00, 2.421361242900000e+00, 1.398109170400000e-01, 4.235508438564146e+00, -4.575545514431347e-01, 3.408157074067589e-01
22, 1.683470902500000e+00, 2.428176544300000e+00, 1.306360520800000e-01, 4.282222182786002e+00, -3.641270629994225e-01, 3.969100591678738e-01
8973, 1.663169505400000e+00, 2.409358954000000e+00, 1.358630007900000e-01, 4.173319557343607e+00, -5.819323138842130e-01, 3.570454846448957e-01
7878, 1.685195506900000e+00, 2.416659799600000e+00, 1.216755920900000e-01, 4.079574591266220e+00, -7.694222460389869e-01, 4.353255105714880e-01
2184, 1.667749205100000e+00, 2.399238457000000e+00, 1.242615042800000e-01, 4.174165306330529e+00, -5.802408159103685e-01, 3.842763425675266e-01
2185, 1.682823789700000e+00, 2.401179572600000e+00, 1.142684668400000e-01, 3.947168579876108e+00, -1.034234268819211e+00, 4.450737280316655e-01
1957, 1.673297269500000e+00, 2.432446806700000e+00, 1.443461224400000e-01, 4.571451930005604e+00, 2.143324314397805e-01, 3.078814343599767e-01
2829, 1.661359549000000e+00, 2.425925524000000e+00, 1.537017511900000e-01, 4.553591869804798e+00, 1.786123110381688e-01, 3.305381423676961e-01
2830, 1.655487859300000e+00, 2.412220097400000e+00, 1.474435698200000e-01, 4.307354341365987e+00, -3.138627458394527e-01, 3.213756502375763e-01
1958, 1.683148054400000e+00, 2.439924714800000e+00, 1.398044710500000e-01, 4.289807427064320e+00, -3.489565744427878e-01, 3.467060856683285e-01
7074, 1.694054576100000e+00, 2.441787332200000e+00, 1.308915886400000e-01, 4.226008954614501e+00, -4.765535193424242e-01, 4.108250649881368e-01
7877, 1.696603113200000e+00, 2.428982038900000e+00, 1.207641774600000e-01, 3.957053252287654e+00, -1.014464923996118e+00, 4.477661288150076e-01
23, 1.095620689100000e+00, 1.566119355600000e+00, 4.426783380800000e-02, 4.218105370400063e+00, -4.923606877713009e-01, 4.131483953444633e-01
24, 1.097362565500000e+00, 1.581771586700000e+00, 5.654564706000000e-02, 4.502582303872502e+00, 7.659317917357635e-02, 3.879828758567754e-01
25, 1.109583409500000e+00, 1.580145618500000e+00, 4.103506844600000e-02, 4.416612424303584e+00, -9.534657996425899e-02, 3.743173148146817e-01
1802, 1.084559562400000e+00, 1.567816362200000e+00, 5.977670247200000e-02, 4.654972563923827e+00, 3.813736992762262e-01, 3.772019009295364e-01
9310, 1.108625576500000e+00, 1.565926486000000e+00, 3.137764685200000e-02, 4.377435161648351e+00, -1.737011052747253e-01, 3.768216924695147e-01
6808, 1.082889698300000e+00, 1.553761329800000e+00, 4.798140171800000e-02, 4.461555130440154e+00, -5.461167691118263e-03, 3.829813041724102e-01
9311, 1.093346309700000e+00, 1.552435477000000e+00, 3.563377753200000e-02, 4.271898309584868e+00, -3.847748094016907e-01, 4.051701313125017e-01
2302, 1.113110668200000e+00, 1.596334983900000e+00, 5.074928415400000e-02, 4.489436453578667e+00, 5.030147858590794e-02, 3.551245785642471e-01
3255, 1.084410494400000e+00, 1.578153077200000e+00, 7.258279061900000e-02, 4.526294317333291e+00, 1.240172060951554e-01, 3.685971256149394e-01
8535, 1.101649194200000e+00, 1.595016135900000e+00, 6.452745505700000e-02, 4.550578594260744e+00, 1.725857599500600e-01, 3.449997447115680e-01
3256, 1.091085812700000e+00, 1.589410473000000e+00, 7.553657222400000e-02, 4.445841403019380e+00, -3.688862253266656e-02, 3.785146179284093e-01
